0,1.6354,2.4375
0.1,2.0983,3.1
0.2,2.3236,3.4167
0.3,2.3917,3.5
0.4,2.7131,3.9286
0.5,2.6536,3.8214
0.6,2.4107,3.4643
0.7,1.9964,2.8571
0.8,1.6393,2.3571
0.9,1.4571,2.1071
1,1.3714,2
1.1,1.3464,2
1.2,1.3893,2.0714
1.3,1.6036,2.3929
1.4,1.8893,2.8214
1.5,2.1893,3.25
1.6,2.4214,3.6071
1.7,2.5571,3.8214
1.8,2.6607,3.9643
1.9,2.7893,4.1786
2,2.8214,4.25
2.1,2.8214,4.25
2.2,2.9393,4.4286
2.3,3.1214,4.6786
2.4,3.475,5.1786
2.5,3.95,5.8929
2.6,4.3357,6.4643
2.7,4.6679,6.9286
2.8,5.0464,7.4643
2.9,5.2607,7.75
3,5.2214,7.6786
3.1,4.8429,7.1071
3.2,3.9714,5.7857
3.3,2.8357,4.0714
3.4,1.6714,2.3214
3.5,0.30714,0.28571
3.6,-1.0679,-1.75
3.7,-2.2821,-3.5595
3.8,-3.1583,-4.8611
3.9,-3.705,-5.6833
4,-3.8562,-5.9167
