Row, Timestamp, 1-Series 1, 1-Series 2
0   , 0.010, 100    , 0      
1   , 0.020, 100    , 1      
2   , 0.031, 100    , 7      
3   , 0.041, 100    , 13     
4   , 0.051, 100    , 19     
5   , 0.061, 100    , 27     
6   , 0.071, 100    , 35     
7   , 0.081, 100    , 44     
8   , 0.091, 100    , 53     
9   , 0.101, 100    , 63     
10  , 0.112, 100    , 73     
11  , 0.122, 100    , 81     
12  , 0.133, 100    , 89     
13  , 0.143, 100    , 95     
14  , 0.153, 100    , 100    
15  , 0.163, 100    , 102    
16  , 0.173, 100    , 102    
17  , 0.183, 100    , 102    
18  , 0.193, 100    , 101    
19  , 0.203, 100    , 101    
20  , 0.213, 100    , 101    
21  , 0.223, 100    , 101    
22  , 0.233, 100    , 100    
23  , 0.243, 100    , 100    
24  , 0.253, 100    , 100    
25  , 0.263, 100    , 100    
26  , 0.273, 100    , 100    
27  , 0.283, 100    , 100    
28  , 0.293, 100    , 100    
29  , 0.303, 100    , 100    
30  , 0.313, 100    , 100    
31  , 0.323, 100    , 100    
32  , 0.333, 100    , 100    
33  , 0.343, 100    , 100    
34  , 0.353, 100    , 100    
35  , 0.363, 100    , 100    
36  , 0.373, 100    , 100    
37  , 0.383, 100    , 100    
38  , 0.393, 100    , 100    
39  , 0.403, 100    , 100    
40  , 0.413, 100    , 100    
41  , 0.423, 100    , 100    
42  , 0.433, 100    , 100    
43  , 0.443, 100    , 100    
44  , 0.453, 100    , 100    
45  , 0.463, 100    , 100    
46  , 0.473, 100    , 100    
47  , 0.483, 100    , 100    
48  , 0.493, 100    , 100    
49  , 0.503, 100    , 100    
50  , 0.513, 100    , 100    
51  , 0.523, 100    , 100    
52  , 0.533, 100    , 100    
53  , 0.543, 100    , 100    
54  , 0.553, 100    , 100    
55  , 0.563, 100    , 100    
56  , 0.573, 100    , 100    
57  , 0.583, 100    , 100    
58  , 0.593, 100    , 100    
59  , 0.603, 100    , 100    
60  , 0.613, 100    , 100    
61  , 0.623, 100    , 100    
62  , 0.633, 100    , 100    
63  , 0.643, 100    , 100    
64  , 0.653, 100    , 100    
