Row, Timestamp, Series 1, Series 2
0   , 0.002, 100    , 0      
1   , 0.013, 100    , 1      
2   , 0.023, 100    , 5      
3   , 0.033, 100    , 11     
4   , 0.043, 100    , 18     
5   , 0.053, 100    , 25     
6   , 0.064, 100    , 33     
7   , 0.074, 100    , 42     
8   , 0.085, 100    , 52     
9   , 0.097, 100    , 64     
10  , 0.107, 100    , 74     
11  , 0.117, 100    , 84     
12  , 0.127, 100    , 92     
13  , 0.137, 100    , 100    
14  , 0.147, 100    , 106    
15  , 0.157, 100    , 108    
16  , 0.167, 100    , 108    
17  , 0.177, 100    , 106    
18  , 0.187, 100    , 103    
19  , 0.198, 100    , 100    
20  , 0.208, 100    , 99     
21  , 0.219, 100    , 98     
22  , 0.229, 100    , 98     
23  , 0.240, 100    , 99     
24  , 0.250, 100    , 100    
25  , 0.261, 100    , 99     
26  , 0.271, 100    , 98     
27  , 0.281, 100    , 98     
28  , 0.291, 100    , 99     
29  , 0.301, 100    , 100    
30  , 0.311, 100    , 100    
31  , 0.321, 100    , 100    
32  , 0.331, 100    , 99     
33  , 0.341, 100    , 100    
34  , 0.351, 100    , 100    
35  , 0.361, 100    , 99     
36  , 0.371, 100    , 100    
37  , 0.381, 100    , 100    
38  , 0.391, 100    , 100    
39  , 0.401, 100    , 100    
40  , 0.411, 100    , 100    
41  , 0.421, 100    , 100    
42  , 0.431, 100    , 100    
43  , 0.441, 100    , 100    
44  , 0.451, 100    , 100    
45  , 0.461, 100    , 100    
46  , 0.471, 100    , 100    
47  , 0.481, 100    , 100    
48  , 0.497, 100    , 100    
49  , 0.508, 100    , 100    
50  , 0.518, 100    , 100    
51  , 0.529, 100    , 100    
52  , 0.539, 100    , 100    
53  , 0.549, 100    , 100    
54  , 0.559, 100    , 100    
55  , 0.569, 100    , 100    
56  , 0.579, 100    , 100    
57  , 0.589, 100    , 100    
58  , 0.599, 100    , 100    
59  , 0.609, 100    , 100    
60  , 0.619, 100    , 100    
61  , 0.629, 100    , 100    
62  , 0.639, 100    , 100    
63  , 0.649, 100    , 100    
64  , 0.659, 100    , 100    
65  , 0.670, 100    , 100    
66  , 0.680, 100    , 100    
67  , 0.691, 100    , 100    
