0,100,0,0,0
0.01,100,1,1,1
0.02,100,5,7,6
0.03,100,11,13,11
0.04,100,17,19,18
0.05,100,25,27,25
0.06,100,31,35,32
0.07,100,38,44,40
0.08,100,44,53,48
0.09,100,51,63,57
0.1,100,57,73,66
0.11,100,63,81,75
0.12,100,71,89,85
0.13,100,74,95,94
0.14,100,75,100,104
0.15,100,77,102,110
0.16,100,80,102,112
0.17,100,83,102,110
0.18,100,85,101,107
0.19,100,87,101,103
0.2,100,88,101,100
0.21,100,90,101,98
0.22,100,91,100,97
0.23,100,92,100,98
0.24,100,93,100,99
0.25,100,93,100,100
0.26,100,93,100,100
0.27,100,94,100,100
0.28,100,94,100,100
0.29,100,95,100,100
0.3,100,95,100,100
