w,H,WH,KH
0.1,-21.138,20.489,9.6548
0.11514,-21.137,19.279,8.7959
0.13257,-21.137,18.073,8.0133
0.15264,-21.136,16.874,7.3133
0.17575,-21.135,15.683,6.6997
0.20236,-21.134,14.501,6.1727
0.233,-21.132,13.334,5.7295
0.26827,-21.13,12.184,5.3646
0.30888,-21.128,11.056,5.0703
0.35565,-21.124,9.9565,4.838
0.40949,-21.119,8.8929,4.6587
0.47149,-21.113,7.8733,4.524
0.54287,-21.104,6.9072,4.426
0.62506,-21.093,6.0044,4.3578
0.71969,-21.079,5.1747,4.3128
0.82864,-21.06,4.4269,4.2853
0.9541,-21.035,3.768,4.2699
1.0985,-21.003,3.2023,4.2611
1.2649,-20.961,2.7311,4.2541
1.4563,-20.908,2.3528,4.2443
1.6768,-20.842,2.0633,4.2271
1.9307,-20.759,1.8566,4.1986
2.223,-20.659,1.7252,4.1546
2.5595,-20.54,1.6606,4.0912
2.9471,-20.404,1.6529,4.0039
3.3932,-20.255,1.6899,3.8877
3.9069,-20.103,1.7563,3.7369
4.4984,-19.96,1.8331,3.5448
5.1795,-19.845,1.8971,3.3042
5.9636,-19.782,1.9216,3.007
6.8665,-19.796,1.8783,2.6456
7.906,-19.913,1.74,2.2132
9.103,-20.152,1.4836,1.705
10.481,-20.53,1.0933,1.1198
12.068,-21.05,0.56322,0.46051
13.895,-21.708,-0.10177,-0.26516
15.999,-22.487,-0.88681,-1.0443
18.421,-23.369,-1.7726,-1.8588
21.21,-24.346,-2.7526,-2.6855
24.421,-25.472,-3.8807,-3.4973
28.118,-26.968,-5.3784,-4.2704
32.375,-29.316,-7.7281,-5.0155
37.276,-32.937,-11.351,-5.8681
42.919,-37.604,-16.018,-7.2643
49.417,-42.745,-21.16,-9.9525
56.899,-47.996,-26.412,-14.143
65.513,-53.222,-31.638,-19.149
75.431,-58.389,-36.805,-24.365
86.851,-63.497,-41.912,-29.562
100,-68.555,-46.971,-34.693
