r1,r2,r3,r4,r5,i1,i2,i3,i4,i5
-12.3,-12.3,9.4436,-17.756,-9.4436,-30.981,30.981,0,0,0
-12.401,-12.401,8.9664,-15.98,-10.541,-30.642,30.642,0,0,0
-12.421,-12.421,8.8759,-15.541,-10.849,-30.578,30.578,0,0,0
-12.445,-12.445,8.7676,-14.915,-11.319,-30.501,30.501,0,0,0
-12.474,-12.474,8.638,-13.728,-12.318,-30.409,30.409,0,0,0
-12.479,-12.479,8.6154,-13.142,-12.871,-30.393,30.393,0,0,0
-12.479,-12.479,8.6145,-13.006,-13.006,-30.393,30.393,0,0,0
-12.479,-12.479,8.6137,-13.005,-13.005,-30.392,30.392,0,0.13513,-0.13513
-12.51,-12.51,8.4824,-12.909,-12.909,-30.299,30.299,0,1.6754,-1.6754
-12.554,-12.554,8.295,-12.771,-12.771,-30.166,30.166,0,2.6104,-2.6104
-12.609,-12.609,8.0689,-12.603,-12.603,-30.007,30.007,0,3.4204,-3.4204
-12.678,-12.678,7.7949,-12.397,-12.397,-29.813,29.813,0,4.2065,-4.2065
-12.766,-12.766,7.4615,-12.142,-12.142,-29.578,29.578,0,5.0112,-5.0112
-12.881,-12.881,7.0539,-11.824,-11.824,-29.29,29.29,0,5.8642,-5.8642
-13.033,-13.033,6.5526,-11.421,-11.421,-28.937,28.937,0,6.7934,-6.7934
-13.242,-13.242,5.9332,-10.903,-10.903,-28.499,28.499,0,7.8309,-7.8309
-13.54,-13.54,5.1653,-10.221,-10.221,-27.956,27.956,0,9.0179,-9.0179
-13.988,-13.988,4.217,-9.2982,-9.2982,-27.285,27.285,0,10.405,-10.405
-14.698,-14.698,3.0728,-8.016,-8.016,-26.494,26.494,0,12.033,-12.033
-15.224,-15.224,2.41,-7.1591,-7.1591,-26.068,26.068,0,12.965,-12.965
-15.817,-15.817,1.7787,-6.2506,-6.2506,-25.71,25.71,0,13.84,-13.84
-16.568,-16.568,1.0917,-5.1554,-5.1554,-25.4,25.4,0,14.774,-14.774
-17.323,-17.323,0.48495,-4.0969,-4.0969,-25.213,25.213,0,15.589,-15.589
-18.174,-18.174,-0.12575,-2.9412,-2.9412,-25.121,25.121,0,16.419,-16.419
-18.955,-18.955,-0.62889,-1.9086,-1.9086,-25.124,25.124,0,17.136,-17.136
-20.538,-20.538,-1.4917,0.10615,0.10615,-25.33,25.33,0,18.522,-18.522
-22.045,-22.045,-2.1337,1.9339,1.9339,-25.719,25.719,0,19.806,-19.806
-23.49,-23.49,-2.6111,3.6178,3.6178,-26.228,26.228,0,21.025,-21.025
-24.894,-24.894,-2.9711,5.2016,5.2016,-26.828,26.828,0,22.207,-22.207
-26.273,-26.273,-3.2473,6.719,6.719,-27.502,27.502,0,23.368,-23.368
-27.642,-27.642,-3.4624,8.195,8.195,-28.24,28.24,0,24.524,-24.524
-29.01,-29.01,-3.6324,9.6484,9.6484,-29.04,29.04,0,25.684,-25.684
-30.387,-30.387,-3.7682,11.093,11.093,-29.898,29.898,0,26.859,-26.859
-31.78,-31.78,-3.8777,12.541,12.541,-30.813,30.813,0,28.054,-28.054
-33.196,-33.196,-3.9666,14.001,14.001,-31.787,31.787,0,29.277,-29.277
-34.639,-34.639,-4.0394,15.481,15.481,-32.82,32.82,0,30.532,-30.532
-36.115,-36.115,-4.0993,16.987,16.987,-33.913,33.913,0,31.825,-31.825
-37.628,-37.628,-4.1487,18.525,18.525,-35.068,35.068,0,33.16,-33.16
-39.183,-39.183,-4.1896,20.1,20.1,-36.287,36.287,0,34.542,-34.542
-40.784,-40.784,-4.2237,21.718,21.718,-37.571,37.571,0,35.974,-35.974
-42.435,-42.435,-4.252,23.383,23.383,-38.922,38.922,0,37.46,-37.46
-44.139,-44.139,-4.2757,25.099,25.099,-40.344,40.344,0,39.005,-39.005
-45.9,-45.9,-4.2955,26.87,26.87,-41.839,41.839,0,40.611,-40.611
-47.723,-47.723,-4.3121,28.701,28.701,-43.409,43.409,0,42.283,-42.283
-49.611,-49.611,-4.326,30.596,30.596,-45.058,45.058,0,44.025,-44.025
-51.567,-51.567,-4.3377,32.558,32.558,-46.787,46.787,0,45.839,-45.839
-53.596,-53.596,-4.3475,34.592,34.592,-48.601,48.601,0,47.731,-47.731
-55.703,-55.703,-4.3558,36.703,36.703,-50.503,50.503,0,49.704,-49.704
-57.89,-57.89,-4.3627,38.893,38.893,-52.495,52.495,0,51.762,-51.762
-60.162,-60.162,-4.3686,41.168,41.168,-54.583,54.583,0,53.91,-53.91
-62.523,-62.523,-4.3735,43.532,43.532,-56.768,56.768,0,56.15,-56.15
-64.978,-64.978,-4.3777,45.989,45.989,-59.056,59.056,0,58.488,-58.488
-67.532,-67.532,-4.3812,48.545,48.545,-61.45,61.45,0,60.929,-60.929
-70.189,-70.189,-4.3841,51.203,51.203,-63.955,63.955,0,63.476,-63.476
-72.953,-72.953,-4.3866,53.969,53.969,-66.575,66.575,0,66.135,-66.135
-75.831,-75.831,-4.3887,56.847,56.847,-69.315,69.315,0,68.911,-68.911
-78.827,-78.827,-4.3904,59.844,59.844,-72.18,72.18,0,71.809,-71.809
